RunTime,rad,value,ID,coefficients..Intercept.,coefficients.x1,R.squared,std.error..Intercept.,std.error.x1,timepoint
126.7332172,351,210.4855878,90,34.55253519,1.388996641,0.997943509,0.791501417,0.006369401,june
138.1831635,430,230.1279938,90,-26.9590213,1.859887499,0.998313892,1.047882091,0.007721163,june
155.7995269,482,246.0798226,90,-88.45350097,2.147802928,0.998833215,1.137001563,0.007415328,june
183.1828734,541,242.9075156,90,-108.3830219,1.918628714,0.996324332,2.127337384,0.011771877,june
204.182567,609,233.3535174,90,-114.3758442,1.702484928,0.997163204,1.850269676,0.009172785,june
214.0831132,668,256.8482935,90,-285.1625694,2.532489611,0.999151577,1.577491639,0.007454613,june
228.3825161,0,303.6259815,94,557.2484991,-1.108443283,0.952647413,5.639576331,0.024963541,june
89.83274711,112,183.5017162,94,228.3258551,-0.499949833,0.979432315,0.639409641,0.007318446,june
104.282659,180,188.0124637,94,120.2162034,0.649517865,0.992512461,0.580235678,0.00569875,june
115.1828294,272,204.3081785,94,-1.389627788,1.784956665,0.997573973,1.002256776,0.008891804,june
125.4825402,351,230.2886309,94,-129.788077,2.870239449,0.998135861,1.541388713,0.012529951,june
132.8829249,430,251.4593511,94,-155.7922642,3.060813026,0.996672893,2.329759479,0.017864087,june
158.4996403,482,278.4777963,94,-287.33332,3.571710681,0.997607851,2.756693667,0.017667594,june
183.2827415,541,278.0370005,94,-321.4763945,3.272656187,0.987637783,6.687558588,0.036985941,june
203.4323151,609,260.0174854,94,-372.8625416,3.11310064,0.997763407,2.601139396,0.012943373,june
211.6326003,668,290.1706138,94,-478.1005449,3.629927674,0.997767313,3.62801195,0.017345395,june
,0,,126,,-0.4167,,,,june
,112,,126,,0.32,,,,june
,180,,126,,0.92,,,,june
,272,,126,,1.1,,,,june
,351,,126,,1.14,,,,june
,430,,126,,1.22,,,,june
,482,,126,,1.2,,,,june
,541,,126,,1.4,,,,june
,609,,126,,1.2,,,,june
,668,,126,,1.4,,,,june
,726,,126,,1.2,,,,june
,0,,98,,-0.67,,,,june
,112,,98,,-0.04,,,,june
,180,,98,,0.66,,,,june
,272,,98,,1.24,,,,june
,351,,98,,1.9,,,,june
,430,,98,,2.2,,,,june
,482,,98,,2,,,,june
,541,,98,,2,,,,june
,609,,98,,2.1,,,,june
,668,,98,,2.4,,,,june
,726,,98,,2.3,,,,june
,0,,102,,-0.7142,,,,june
,112,,102,,-0.04,,,,june
,180,,102,,0.52,,,,june
,272,,102,,0.96,,,,june
,351,,102,,1.4,,,,june
,430,,102,,2.2,,,,june
,482,,102,,2,,,,june
,541,,102,,2.1,,,,june
,609,,102,,2.1,,,,june
,668,,102,,2.8,,,,june
,726,,102,,2.4,,,,june
,0,,86,,-0.3571,,,,june
,112,,86,,0.08,,,,june
,180,,86,,0.62,,,,june
,272,,86,,0.94,,,,june
,351,,86,,1.06,,,,june
,430,,86,,1.2,,,,june
,482,,86,,1,,,,june
,541,,86,,0.93,,,,june
,609,,86,,0.9,,,,june
,668,,86,,0.7,,,,june
,726,,86,,0.6,,,,june
,0,,97,,-0.67,,,,june
,112,,97,,0.06,,,,june
,180,,97,,0.7,,,,june
,272,,97,,1.08,,,,june
,351,,97,,1.2,,,,june
,430,,97,,1.8,,,,june
,482,,97,,1.5,,,,june
,541,,97,,2,,,,june
